System,Teff,err,err.1,[Fe/H],erru,errd,M_A,errup,errdn,R_A,errup.1,errdn.1,loggA,errup.2,errdn.2,rho_A,errup.3,errdn.3,Period,e,errup.4,errdown,a(AU),errup.5,errdown.1,M_b,errup.6,errdn.4,R_b,errup.7,errdn.5,g_b,errup.8,errdn.6,rho_b,errup.9,errdn.7,Teq,err.2,err.3,Discovery_reference,Recent_reference,Rp_Rs,a_Rs,host_star,has_pdcsap,n_sectors,sector_list,pl_name,hostname,tic_id,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_orbeccen,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_imppar,pl_impparerr1,pl_impparerr2,pl_trandep,ttv_flag,st_teff,st_logg,st_rad,discoverymethod,nea_match_type
TOI-157,5404,70,67,0.24,0.09,0.09,0.948,0.023,0.018,1.167,0.017,0.014,4.281,0.011,0.011,0.597,0.021,0.021,2.085,0.0,0.21,0.0,0.03138,0.00025,0.00021,1.18,0.13,0.12,1.286,0.023,0.02,17.7,2.0,1.9,0.517,0.06,0.059,1588.0,21.0,20.0,2020A+A...639A..76N,2020A+A...639A..76N,1.1019708654670095,5.782095176238453,TOI-157,True,35,"[9, 11, 12, 13, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 61, 62, 63, 64, 65, 66, 67, 68, 69, 87, 88, 89, 90, 93, 94, 95, 96, 98]",TOI-157 b,TOI-157,TIC 140691463,82.01,0.15,-0.16,0.11329,0.00056,-0.00054,5.785,0.066,-0.069,0.0,2458326.54771,0.00022,-0.00021,2.14584,0.0132,-0.01248,0.8045,0.0069,-0.0068,1.283,0.0,5404.0,4.281,1.167,Transit,host_single
TOI-1259,4775,100,100,-0.5,0.5,0.5,0.748,0.048,0.043,0.715,0.015,0.014,4.605,0.013,0.013,2.05,0.02,0.03,3.478,0.0,0.132,0.0,0.0408,0.0009,0.0009,0.415,0.038,0.038,1.035,0.018,0.018,10.5,1.0,0.9,0.347,0.03,0.03,963.0,21.0,21.0,2021MNRAS.507.4132M,arXiv:2507.07737,1.4475524475524475,12.270359138525151,TOI-1259,True,32,"[14, 17, 18, 19, 20, 21, 24, 25, 26, 40, 41, 47, 48, 50, 51, 52, 53, 54, 55, 58, 59, 60, 73, 74, 75, 77, 78, 79, 80, 81, 85, 86]",TOI-1259 A b,TOI-1259 A,TIC 288735205,89.7,0.2,-0.26,0.14762,0.00035,-0.0003,12.314,0.036,-0.056,0.0,2458686.700531,9.7e-05,-0.000104,2.4754,0.0048,-0.0048,0.065,0.055,-0.044,2.6759,0.0,4775.0,4.605,0.711,Transit,host_single
WD_1856+534,4920,50,50,-1.0,-1.0,-1.0,0.605,0.013,0.013,0.0121,0.0002,0.0002,8.02,0.02,0.02,-1.0,-1.0,-1.0,1.408,0.0,0.68,0.0,0.02085,0.0014,0.0014,0.0,5.2,0.0,0.946,0.017,0.017,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,165.0,9.0,9.0,2020Natur.585..363V,2025ApJ...984L..28L,78.18181818181819,370.5303971142204,WD 1856+534,True,23,"[14, 15, 19, 22, 26, 40, 41, 49, 53, 54, 55, 56, 59, 73, 74, 75, 76, 79, 80, 81, 82, 83, 86]",WD 1856+534 b,WD 1856+534,TIC 267574918,88.778,0.059,-0.059,7.28,0.65,-0.65,336.0,14.0,-14.0,0.0,2458779.3750828,3.4e-06,-3.4e-06,0.1333,0.0004,-0.0004,7.16,0.65,-0.65,56.65,0.0,4710.0,7.915,0.0131,Transit,host_single
KELT-23,5900,49,49,-0.105,0.077,0.077,0.945,0.06,0.054,0.995,0.015,0.015,4.418,0.026,0.025,0.957,0.064,0.059,2.255,0.0,0.067,0.0,0.03303,0.00068,0.00064,0.938,0.045,0.042,1.322,0.025,0.025,13.3,0.82,0.77,0.38,0.029,0.026,1561.0,20.0,20.0,2019AJ....158...78J,2019AJ....158...78J,1.328643216080402,7.138198913120068,KELT-23,True,19,"[14, 15, 16, 17, 21, 23, 41, 47, 48, 49, 50, 54, 57, 74, 75, 76, 77, 81, 84]",KELT-23 A b,KELT-23 A,TIC 458478250,85.37,0.31,-0.3,0.1365,0.001,-0.001,7.13,0.16,-0.15,0.0,2458140.3792,0.0027,-0.0029,2.38104,0.02208,-0.02208,0.576,0.024,-0.027,1.864,0.0,5899.0,4.417,0.996,Transit,host_single
TOI-2010,5929,74,74,0.168,0.055,0.055,1.112,0.048,0.055,1.079,0.027,0.026,4.417,0.021,0.025,0.881,0.062,0.061,141.834,0.212,0.022,0.021,0.5516,0.0078,0.0093,1.286,0.055,0.057,1.054,0.027,0.027,28.6,1.8,1.7,1.03,0.08,0.08,400.0,6.0,6.0,2023AJ....166..239M,2023AJ....166..239M,0.9768303985171456,109.92740241689584,TOI-2010,True,13,"[14, 15, 16, 40, 54, 55, 56, 74, 75, 76, 81, 82, 83]",TOI-2010 b,TOI-2010,TIC 26547036,89.903,0.064,-0.059,0.10035,0.00043,-0.00037,109.8,2.5,-2.6,0.212,2458712.30168,0.00042,-0.00041,8.681,0.029,-0.024,0.147,0.088,-0.097,1.16,0.0,5929.0,4.417,1.079,Transit,host_single
XO-7,6250,100,100,0.432,0.057,0.057,1.405,0.059,0.059,1.48,0.022,0.022,4.246,0.023,0.023,0.407,0.009,0.009,2.864,0.038,0.033,0.033,0.04329,0.00072,0.00072,0.726,0.038,0.038,1.324,0.02,0.02,9.32,0.29,0.29,0.278,0.023,0.021,1612.0,27.0,27.0,2020AJ....159...44C,2024MNRAS.527.3474G,0.8945945945945947,6.289686848856137,XO-7,True,12,"[25, 26, 40, 47, 52, 53, 59, 60, 73, 74, 79, 86]",XO-7 b,XO-7,TIC 268403451,83.45,0.29,-0.29,0.09532,0.00093,-0.00093,6.43,0.14,-0.14,0.038,2457917.47503,0.00045,-0.00045,2.772,0.0336,-0.0336,0.709,0.023,-0.023,0.909,0.0,6250.0,4.246,1.48,Transit,host_single
TOI-2025,5880,53,53,0.18,0.08,0.08,1.32,0.14,0.14,1.56,0.03,0.03,4.17,0.06,0.06,-1.0,-1.0,-1.0,8.872,0.44,0.03,0.02,0.089,0.004,0.004,4.4,0.4,0.4,1.12,0.009,0.009,-1.0,-1.0,-1.0,2.9,0.2,0.2,1186.0,11.0,11.0,2022A+A...667A..22K,2022A+A...667A..22K,0.717948717948718,12.267852937720711,TOI-2025,True,13,"[40, 47, 52, 53, 58, 59, 60, 74, 78, 79, 81, 85, 86]",TOI-2025 b,TOI-2025,TIC 394050135,88.65,0.9,-0.92,0.07469,0.00052,-0.00044,13.12,0.48,-0.48,0.394,2459089.53337,0.00025,-0.00025,3.601,0.024,-0.02,0.19,0.14,-0.13,0.5578,0.0,5977.0,4.187,1.459,Transit,host_single
HAT-P-37,5500,100,100,0.03,0.1,0.1,0.929,0.043,0.043,0.877,0.059,0.077,4.52,0.05,0.05,-1.0,-1.0,-1.0,2.797,0.058,0.038,0.038,0.0379,0.0006,0.0006,1.169,0.103,0.103,1.178,0.077,0.07,21.0,3.0,3.0,0.67,0.14,0.14,1271.0,47.0,47.0,2012AJ....144...19B,2012AJ....144...19B,1.3432155074116303,9.292718243882996,HAT-P-37,True,11,"[26, 40, 41, 53, 54, 55, 59, 74, 75, 80, 82]",HAT-P-37 b,HAT-P-37,TIC 267572272,86.9,0.4,-0.5,0.1378,0.003,-0.003,9.32,0.42,-0.57,0.058,2455642.14318,0.00029,-0.00029,2.3304,0.036,-0.036,0.505,0.041,-0.062,1.899,0.0,5500.0,4.52,0.877,Transit,host_single
Kepler-015,5595,120,120,0.36,0.07,0.07,1.08,0.13,0.13,1.253,0.051,0.051,4.275,0.018,0.018,0.548,0.008,0.008,4.943,0.0,-1.0,-1.0,0.0583,0.0023,0.0023,0.696,0.099,0.099,1.289,0.054,0.054,10.4,1.1,1.1,0.304,0.036,0.036,1251.0,27.0,27.0,2011ApJS..197...13E,2012MNRAS.426.1291S,1.028731045490822,10.005081637596271,Kepler-015,True,11,"[40, 41, 54, 55, 56, 74, 75, 76, 81, 82, 83]",Kepler-15 b,Kepler-15,TIC 27774415,87.44,0.18,-0.2,0.0996,0.00055,-0.00053,12.8,1.2,-1.5,0.06,2454969.328651,8.4e-05,-9.6e-05,3.5,,,0.554,0.023,-0.024,1.1265,0.0,5515.0,4.46,0.992,Transit,host_single
KELT-24,6426,91,93,0.138,0.086,0.082,1.268,0.063,0.063,1.338,0.03,0.032,4.248,0.018,0.021,0.527,0.023,0.023,5.552,0.0319,0.0079,0.0074,0.0665,0.0011,0.0011,4.59,0.18,0.18,1.134,0.026,0.027,88.3,2.9,2.8,2.94,0.14,0.15,1391.0,22.0,23.0,2019AJ....158..197R,2024AJ....168..118G,0.8475336322869954,10.68731683847388,KELT-24,True,10,"[14, 20, 21, 40, 41, 47, 48, 60, 74, 75]",KELT-24 b,KELT-24,TIC 349827430,89.67,0.24,-0.36,0.087024,0.00012,-9.3e-05,10.67,0.15,-0.16,0.0319,2459173.347426,3.4e-05,-3.4e-05,4.3032,0.0038,-0.0038,0.061,0.066,-0.045,0.7573,0.0,6426.0,4.287,1.338,Transit,host_single
HIP_00065,4590,49,49,0.18,0.08,0.08,0.781,0.027,0.027,0.7242,0.0081,0.0091,4.611,0.011,0.01,2.054,0.06,0.052,0.981,0.0,0.02,0.0,0.01782,0.0002,0.00021,3.213,0.078,0.078,2.03,0.61,0.49,20.0,11.0,8.0,0.36,0.46,0.2,1411.0,15.0,15.0,2020A+A...639A..76N,2020A+A...639A..76N,2.8030930682132005,5.291177516085718,HIP 00065,True,9,"[1, 2, 28, 29, 68, 69, 95, 96, 102]",HIP 65 A b,HIP 65 A,TIC 201248411,77.18,0.92,-1.0,0.287,0.088,-0.068,5.289,0.051,-0.045,0.0,2458326.10418,0.00011,-0.00011,0.78576,0.006,-0.006,1.169,0.095,-0.077,8.2,0.0,4590.0,4.611,0.7242,Transit,host_single
TOI-1420,5493,50,50,0.29,0.08,0.08,0.987,0.048,0.048,0.923,0.024,0.024,4.502,0.029,0.029,1.25,0.11,0.11,6.956,0.0,0.17,0.0,0.071,0.0012,0.0012,0.079,0.012,0.012,1.061,0.029,0.029,-1.0,-1.0,-1.0,0.062,0.011,0.011,957.0,17.0,17.0,2023AJ....166..181Y,2023AJ....166..181Y,1.1495124593716142,16.540925309286354,TOI-1420,True,10,"[16, 24, 56, 57, 58, 77, 78, 83, 84, 85]",TOI-1420 b,TOI-1420,TIC 321857016,88.58,0.13,-0.13,0.11816,0.00059,-0.00059,16.53,0.47,-0.47,0.17,2459517.43305,0.00012,-0.00012,3.372,0.15,-0.15,0.412,0.036,-0.036,1.396,0.0,5510.0,4.502,0.923,Transit,host_single
TOI-1431,7690,400,250,0.43,0.2,0.28,1.9,0.1,0.08,1.92,0.07,0.07,4.15,0.04,0.04,0.27,0.04,0.04,2.65,0.01,0.0036,0.009,0.046,0.002,0.002,3.14,0.19,0.18,1.49,0.05,0.05,34.5,0.9,0.9,0.89,0.15,0.13,2390.0,100.0,100.0,2021AJ....162..292A,2021AJ....162..292A,0.7760416666666667,5.15180902862148,TOI-1431,True,9,"[15, 16, 55, 56, 57, 76, 77, 83, 84]",TOI-1431 b,TOI-1431,TIC 375506058,80.13,0.13,-0.13,0.07955,0.00063,-0.00053,5.15,0.05,-0.05,0.0022,2458739.17737,7e-05,-7e-05,2.489,0.009,-0.009,0.881,0.004,-0.004,0.5797,0.0,7690.0,4.15,1.92,Transit,host_single
TOI-1268,5257,40,40,0.17,0.06,0.06,0.9,0.13,0.13,0.86,0.02,0.02,4.52,0.07,0.07,1.4,0.23,0.23,8.158,0.12,0.24,0.12,0.0688,0.0017,0.0019,0.29,0.04,0.04,0.747,0.018,0.018,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2022ApJ...926L...7D,2022A+A...662A.107S,0.8686046511627907,17.202562321657812,TOI-1268,True,8,"[15, 21, 22, 41, 48, 49, 75, 76]",TOI-1268 b,TOI-1268,TIC 142394656,88.63,0.32,-0.3,0.091,0.001,-0.001,16.62,0.97,-0.84,0.105,2458711.7477,0.00021,-0.00021,4.001,0.025,-0.024,0.423,0.063,-0.081,0.8186,0.0,5300.0,4.55,0.92,Transit,host_single
KELT-20,8652,160,160,-0.29,0.22,0.36,1.76,0.14,0.2,1.561,0.058,0.064,4.292,0.017,0.02,0.4901,0.0043,0.0044,3.474,0.0,-1.0,-1.0,0.0542,0.0014,0.0021,0.0,3.5,0.0,1.735,0.07,0.075,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2261.0,73.0,73.0,2017AJ....154..194L,2024A+A...683A...1S,1.111467008327995,7.466198573301195,KELT-20,True,7,"[14, 40, 41, 54, 74, 75, 81]",KELT-20 b,KELT-20,TIC 69679391,86.12,0.28,-0.27,0.1144,0.00062,-0.00061,7.42,0.13,-0.13,,2457503.120049,0.00019,-0.00019,3.57552,0.02184,-0.02112,0.503,0.025,-0.028,1.309,0.0,8720.0,4.29,1.565,Transit,host_single
HD_017156,6046,76,72,0.208,0.058,0.058,1.285,0.064,0.082,1.517,0.038,0.036,4.207,0.018,0.018,0.366,0.028,0.025,21.216,0.6772,0.0045,0.0044,0.1632,0.0027,0.0027,3.26,0.11,0.11,1.094,0.031,0.03,67.5,3.8,3.6,2.32,0.2,0.17,888.0,12.0,11.0,2007A+A...476L..13B,2023AJ....165..252K,0.7211601845748188,23.13330727500457,HD 017156,True,8,"[18, 19, 25, 52, 59, 73, 79, 86]",HD 17156 b,HD 17156,TIC 302773669,86.51,0.37,-0.34,0.07412,0.00039,-0.0004,23.11,0.56,-0.53,0.6772,2458809.07037,0.00021,-0.00021,3.1505,0.016,-0.015,0.484,0.035,-0.041,0.5493,0.0,6046.0,4.184,1.517,Radial Velocity,host_single
TOI-4153,6860,150,180,0.32,0.1,0.13,1.572,0.064,0.071,1.605,0.048,0.046,4.224,0.024,0.029,0.381,0.031,0.033,4.617,0.039,0.047,0.028,0.06311,0.00084,0.00096,1.15,0.18,0.18,1.438,0.045,0.042,14.7,2.3,2.3,0.36,0.066,0.064,1669.0,29.0,39.0,2024AJ....168...32S,2024AJ....168...32S,0.8959501557632399,8.455246947973711,TOI-4153,True,8,"[53, 58, 59, 60, 73, 78, 79, 85]",TOI-4153 b,TOI-4153,TIC 470171739,88.75,0.76,-0.6,0.0921,0.00039,-0.00033,8.46,0.22,-0.25,0.039,2459557.05746,0.00015,-0.00015,4.5122,0.0178,-0.0144,0.184,0.091,-0.11,0.9323,0.0,6860.0,4.224,1.605,Transit,host_single
KELT-09,9329,118,118,0.14,0.3,0.3,2.26,0.03,0.03,2.28,0.03,0.03,4.037,0.038,0.04,0.164,0.018,0.018,1.481,0.0,0.035,0.0,0.03368,0.00078,0.00078,2.22,0.58,0.58,1.82,0.03,0.03,19.0,2.5,2.4,0.37,0.054,0.05,3921.0,182.0,174.0,2017Natur.546..514G,arXiv:2601.20849,0.7982456140350879,3.1764380427271663,KELT-09,True,6,"[14, 15, 41, 55, 75, 82]",KELT-9 b,KELT-9,TIC 16740101,86.79,0.25,-0.25,0.08228,0.00043,-0.00043,3.153,0.011,-0.011,0.0,2457095.68572,0.00014,-0.00014,3.91584,0.01152,-0.01152,0.177,0.014,-0.014,0.677,0.0,10170.0,4.093,2.362,Transit,host_single
Kepler-1514b,6145,99,80,0.119,0.08,0.075,1.196,0.065,0.063,1.289,0.027,0.026,4.295,0.019,0.019,0.558,0.029,0.028,217.832,0.401,0.013,0.014,0.753,0.013,0.014,5.28,0.22,0.22,1.108,0.023,0.023,106.7,4.3,4.1,3.63,0.2,0.19,379.0,6.0,5.0,2016ApJ...822...86M,2021AJ....161..103D,0.8595810705973624,125.61607281039886,Kepler-1514b,True,8,"[40, 41, 54, 55, 74, 75, 81, 82]",Kepler-1514 b,Kepler-1514,TIC 137685450,89.944,0.013,-0.01,0.08835,0.00014,-0.00015,125.6,2.2,-2.2,0.401,2455071.81411,0.00046,-0.00046,21.32688,0.01848,-0.01872,0.169,0.03,-0.039,0.7805,0.0,6145.0,4.295,1.289,Transit,planet_name
