pl_name,hostname,st_spectype,st_teff,pl_rade,pl_bmasse,pl_orbper,pl_orbpererr1,pl_trandur,pl_trandep,pl_tranmid,pl_tranmiderr1,ra,dec,disc_facility
"Kepler-1740 b","Kepler-1740",,5705.00,3.32321414,11.00000000,8.17240047500,,3.9020000,0.08643000,2455194.20248000,0.00221000,293.8736630,38.9224548,"Kepler"
"HD 18599 b","HD 18599","K2 V",5145.00,2.60000000,24.10000000,4.13743540000,0.00000360000,2.0600000,0.10084447,2459111.73946000,0.00068000,44.2620144,-56.1918694,"Transiting Exoplanet Survey Satellite (TESS)"
"Kepler-498 b","Kepler-498",,5744.00,3.03000000,9.43000000,9.61375356000,0.00001173000,4.7305000,0.07979000,2454965.18509000,0.00101000,290.3581592,44.5187225,"Kepler"
"Kepler-571 b","Kepler-571",,5527.00,2.64000000,7.46000000,4.79859938800,0.00000540300,2.9979000,0.08174000,2455006.25775700,0.00085200,286.5510448,49.4187310,"Kepler"
"Kepler-416 b","Kepler-416",,5718.00,2.48000000,58.20000000,6.31900000000,,3.2023000,0.05983000,2454965.23059000,0.00161000,291.5569554,39.2272923,"Kepler"
"Kepler-414 c","Kepler-414",,5536.00,3.01000000,29.90000000,7.17100000000,,2.9225000,0.08633000,2455009.66684400,0.00074700,297.9615616,48.2443363,"Kepler"
"Kepler-314 c","Kepler-314",,5378.00,2.90000000,8.75000000,5.96039200000,0.00000500000,2.7650000,0.08239000,2454970.26485000,0.00051000,294.6741507,42.0756037,"Kepler"
"Kepler-269 b","Kepler-269",,5847.00,2.47000000,6.66000000,5.32671800000,0.00003500000,3.3870000,0.06114000,2455190.12204000,0.00329000,290.2151459,41.7759810,"Kepler"
"Kepler-963 b","Kepler-963","G",5461.00,2.66000000,7.56000000,9.97683705000,0.00001568000,3.4190000,0.09922000,2454964.76674000,0.00131000,296.7529742,45.0411049,"Kepler"
"Kepler-148 c","Kepler-148",,5272.00,3.60000000,12.60000000,4.18004300000,0.00000400000,2.4820000,0.18805000,2455006.71928000,0.00054000,289.7861626,46.8588176,"Kepler"
"Kepler-260 b","Kepler-260",,5250.00,2.01000000,4.70000000,8.18739900000,0.00002200000,3.0270000,0.05707000,2455093.86771000,0.00136000,291.9259658,38.0140525,"Kepler"
"Kepler-306 c","Kepler-306",,4954.00,2.35000000,6.12000000,7.24019300000,0.00003200000,3.0520000,0.08649000,2455188.01328000,0.00219000,288.5387145,40.6160545,"Kepler"
"Kepler-292 d","Kepler-292",,5299.00,2.23000000,5.60000000,7.05567900000,0.00004300000,3.1450000,0.07056000,2455014.90973000,0.00369000,295.7661979,42.4242822,"Kepler"
"Kepler-119 b","Kepler-119",,5595.00,3.60000000,12.60000000,2.42208200000,0.00000100000,2.5740000,0.18718000,2454965.93928000,0.00019000,295.9463854,42.6588324,"Kepler"
"Kepler-619 b","Kepler-619",,5980.00,3.16000000,10.10000000,5.40427219700,0.00000555000,2.4748000,0.07703000,2455005.18554300,0.00080100,290.8490899,48.4159782,"Kepler"
"Kepler-656 b","Kepler-656",,5281.00,3.12000000,9.91000000,1.26025909400,0.00000066100,1.8742000,0.11307000,2455003.40885400,0.00041700,288.3278778,47.3815380,"Kepler"
"Kepler-305 b","Kepler-305",,5080.00,3.60000000,10.50000000,5.48700000000,,2.9300000,0.13286000,2455189.07730000,0.00145000,299.2242557,40.3431670,"Kepler"
"Kepler-266 b","Kepler-266",,5885.00,2.48000000,6.71000000,6.61833000000,0.00004800000,3.7170000,0.05491000,2455193.36960000,0.00323000,294.4843821,44.1669355,"Kepler"
"Kepler-319 c","Kepler-319",,5526.00,2.63000000,7.41000000,6.94135700000,0.00000700000,1.7910000,0.08670000,2454970.54285000,0.00061000,288.8119782,39.7706431,"Kepler"
"Kepler-346 b","Kepler-346",,6033.00,2.66000000,7.56000000,6.51112700000,0.00001700000,1.5090000,0.06951000,2454964.70570000,0.00166000,288.0119248,46.1176003,"Kepler"
"KOI-7368 b","KOI-7368",,5241.00,2.22000000,5.56000000,6.84303440000,0.00001250000,2.7900000,0.17230000,2454970.04630000,0.00140000,293.9476365,48.0652589,"Kepler"
"Kepler-244 c","Kepler-244",,5554.00,2.05000000,4.86000000,9.76729200000,0.00004600000,1.3730000,0.05691000,2455019.57903000,0.00229000,287.2426410,42.3014185,"Kepler"
"Kepler-506 b","Kepler-506",,6236.00,2.73000000,7.90000000,6.88340550000,0.00000314900,2.0651000,0.05034000,2455005.66260300,0.00035700,284.6351885,40.7198296,"Kepler"
"TOI-1346 c","TOI-1346",,5099.00,2.23000000,5.60000000,5.50255800000,0.00001500000,3.1711008,0.08447023,2459771.72743000,0.00045000,256.6226752,68.8433031,"Transiting Exoplanet Survey Satellite (TESS)"
"Kepler-234 c","Kepler-234",,6224.00,3.51000000,12.10000000,7.21205000000,0.00002200000,4.0390000,0.09504000,2455005.81664000,0.00178000,291.6535379,38.4946597,"Kepler"
"Kepler-188 c","Kepler-188",,6021.00,3.19000000,10.30000000,5.99655300000,0.00001500000,3.2310000,0.07114000,2455005.50314000,0.00146000,281.2797173,44.3154743,"Kepler"
"Kepler-192 b","Kepler-192",,5479.00,2.74000000,7.95000000,9.92674600000,0.00001800000,3.7800000,0.07255000,2455008.68501000,0.00102000,287.9179379,45.5928829,"Kepler"
"Kepler-254 b","Kepler-254",,5957.00,3.87000000,14.30000000,5.82666200000,0.00001000000,3.0320000,0.15391000,2455006.01039000,0.00101000,288.1646541,45.8164257,"Kepler"
"Kepler-248 b","Kepler-248",,5190.00,3.02000000,9.38000000,6.30820500000,0.00001000000,3.0080000,0.14465000,2455007.04657000,0.00089000,293.0613138,43.5813577,"Kepler"
"TOI-4308 b","TOI-4308",,5243.00,2.41890000,6.43000000,9.15120100000,0.00003600000,2.6160000,0.10740000,2458333.42840000,0.00260000,327.7530693,-43.5623642,"Transiting Exoplanet Survey Satellite (TESS)"
"TOI-1174 b","TOI-1174",,5030.00,2.56200000,32.00000000,8.95348768300,0.00000903900,3.0631000,0.11360000,2459657.03302000,0.00073000,209.2171751,68.6182106,"Transiting Exoplanet Survey Satellite (TESS)"
"Kepler-487 d","Kepler-487",,5422.00,2.77513568,8.12000000,2.41839003600,,2.0744000,0.06654000,2454965.50558700,0.00086400,295.2872318,41.2220033,"Kepler"
"Kepler-221 c","Kepler-221",,5243.00,2.93000000,9.30000000,5.69058600000,0.00000400000,2.5220000,0.13720000,2455007.04865000,0.00037000,296.6547477,46.8352242,"Kepler"
"Kepler-245 b","Kepler-245",,5100.00,2.57000000,146.78000000,7.49019000000,0.00001900000,2.8040000,0.12124000,2455007.94919000,0.00132000,291.6389972,42.4363482,"Kepler"
"Kepler-246 b","Kepler-246",,5206.00,2.34000000,6.08000000,4.60182000000,0.00000800000,2.2270000,0.07559000,2455002.97887000,0.00096000,296.4834007,42.6633806,"Kepler"
"Kepler-179 c","Kepler-179",,5302.00,2.00000000,4.66000000,6.40013000000,0.00001700000,1.8420000,0.07432000,2455007.02343000,0.00136000,298.6636163,47.7619329,"Kepler"
"Kepler-226 c","Kepler-226",,5571.00,2.27000000,45.20000000,5.34955500000,0.00001400000,3.0510000,0.08310000,2455004.80599000,0.00148000,292.3760942,47.8809596,"Kepler"
"Kepler-237 c","Kepler-237",,4861.00,2.08000000,4.98000000,8.10363600000,0.00003200000,3.1500000,0.08879000,2455009.94805000,0.00237000,283.2213438,40.4217620,"Kepler"
"Kepler-161 b","Kepler-161",,5078.00,2.12000000,2.63000000,4.92135500000,0.00000600000,1.8730000,0.08001000,2455007.29899000,0.00070000,290.5164698,43.0838642,"Kepler"
"Kepler-864 b","Kepler-864",,5754.00,2.40000000,6.35000000,5.83376092000,0.00001891000,3.8589000,0.05329000,2454971.74873000,0.00267000,285.0570943,46.3206074,"Kepler"
"Kepler-166 b","Kepler-166",,5413.00,2.27000000,5.77000000,7.65025400000,0.00001200000,2.7490000,0.09814000,2455004.97149000,0.00088000,293.1600977,48.8812074,"Kepler"
"Kepler-232 b","Kepler-232",,5847.00,3.08000000,9.69000000,4.43122200000,0.00001100000,3.1720000,0.10109000,2455004.01551000,0.00139000,295.8161668,51.1217249,"Kepler"
"Kepler-233 b","Kepler-233",,5360.00,2.43000000,6.48000000,8.47238200000,0.00002600000,2.6970000,0.11235000,2455007.16212000,0.00160000,296.3665054,51.3194548,"Kepler"
"K2-388 b","K2-388","G8",5310.00,3.90000000,14.50000000,6.33932000000,0.00013000000,3.0200000,0.17390000,2457741.79456000,0.00088000,352.7139342,-11.0773564,"K2"
"TOI-1301.01","TOI-1301",,4820.00,2.47700000,6.70000000,6.09640720900,0.00000356500,2.3326000,0.11424892,2459710.29440000,0.00033000,275.8625432,71.5817479,"Transiting Exoplanet Survey Satellite (TESS)"
"TOI-697 b","TOI-697",,5681.95,2.35859364,6.16000000,8.60788713593,0.00005735379,3.3441790,0.05550622,2459185.02728159,0.00256537,69.7042208,-36.6813257,"Transiting Exoplanet Survey Satellite (TESS)"
"Kepler-949 b","Kepler-949",,5403.00,2.91000000,8.80000000,8.68930729600,0.00000963200,2.5913000,0.11170000,2454966.66108700,0.00086300,298.6079128,46.4536600,"Kepler"
"TOI-808 b","TOI-808",,5078.20,2.20344362,5.49000000,9.73944854026,0.00007194122,3.4986254,0.06417241,2459257.30445666,0.00305667,133.7485497,-44.2886304,"Transiting Exoplanet Survey Satellite (TESS)"
"HD 191939 b","HD 191939","G9 V",5348.00,3.41000000,10.00000000,8.88032560000,0.00000470000,2.9390000,0.12380000,2459443.54236000,0.00025000,302.0256247,66.8503014,"Transiting Exoplanet Survey Satellite (TESS)"
"Kepler-19 b","Kepler-19",,5541.00,2.20900000,6.10000000,9.28699000000,0.00000000000,3.3652000,0.06917000,2454959.70740000,0.00140000,290.4209694,37.8516556,"Kepler"
"TOI-3353.01","TOI-3353",,6365.00,2.66675550,7.59000000,4.66579650000,,3.0411764,0.05650000,2460174.14998000,0.00077650,106.5298146,-75.8195594,"Transiting Exoplanet Survey Satellite (TESS)"
"K2-285 c","K2-285","K2 V",4975.00,3.53000000,15.68000000,7.13804800000,0.00007200000,2.5200000,0.21000000,2457744.53906000,0.00039000,349.3843458,1.3001522,"K2"
"K2-372 b","K2-372",,5479.00,2.94500000,8.98000000,9.84407700000,0.00056500000,3.6288000,0.10930000,2457146.32870000,0.00190000,130.7988719,13.0094226,"K2"
"TOI-332 b","TOI-332","K0 V",5251.00,3.20000000,57.20000000,0.77703800000,0.00000100000,1.5200000,0.08300000,2459062.44470000,0.00060000,348.0589516,-44.8764852,"Transiting Exoplanet Survey Satellite (TESS)"
"TOI-1117 b","TOI-1117","G5 V",5635.00,2.46000000,8.90000000,2.22816000000,0.00001000000,2.0150000,0.06300000,2459386.96400000,0.00400000,273.6020606,-66.4199742,"Transiting Exoplanet Survey Satellite (TESS)"
"K2-378 b","K2-378",,4823.00,2.88000000,8.65000000,2.06043800000,0.00011800000,1.4904000,0.16970000,2457217.84930000,0.00180000,205.1596569,-11.1172332,"K2"
"TOI-1853 b","TOI-1853","K2.5 V",4985.00,3.46000000,73.20000000,1.24362580000,0.00000150000,1.1900000,0.17900000,2459690.74200000,0.00060000,211.4593468,16.9923703,"Transiting Exoplanet Survey Satellite (TESS)"
"TOI-1136 c","TOI-1136",,5770.00,2.87900000,6.32000000,6.25740000000,0.00020000000,3.4880319,0.08130000,2460366.02651400,0.00179860,192.1848981,64.8552755,"Transiting Exoplanet Survey Satellite (TESS)"
"Kepler-1814 b","Kepler-1814",,4922.00,2.36961357,6.21000000,2.93535995500,,1.5043000,0.10773000,2454969.18492000,0.00139000,285.2166767,41.2824449,"Kepler"
"K2-178 b","K2-178",,5525.00,3.55790985,12.40000000,8.74781800000,0.00036300000,3.4272000,0.14490000,2457070.33656000,0.00147400,52.8888524,22.4348186,"K2"
"K2-275 c","K2-275",,4841.00,2.21000000,5.52000000,8.43883850000,0.00000750000,2.3400000,0.10950000,2457142.48671610,0.00045750,132.1698795,20.4550162,"K2"
"TOI-4747 b","TOI-4747",,5595.08,3.95803201,14.80000000,5.21924158592,0.00002758578,2.6763556,0.15000000,2459196.39359501,0.00224772,86.4276650,-45.0292291,"Transiting Exoplanet Survey Satellite (TESS)"
"TOI-763 b","TOI-763","G",5450.00,2.28000000,9.79000000,5.60570000000,0.00130000000,3.0505970,0.07011882,2458572.10200000,0.00310000,194.4680980,-39.7580613,"Transiting Exoplanet Survey Satellite (TESS)"
"Kepler-1990 b","Kepler-1990",,5751.00,3.27000000,10.70000000,1.73513619000,0.00000028200,2.2741000,0.09526000,2454968.06004700,0.00013600,299.7047433,44.4357068,"Kepler"
"TOI-5803 b","TOI-5803",,5134.00,3.27320000,10.70000000,5.38305000000,0.00020700000,1.3820000,0.10780000,2459802.71030000,0.00040000,327.2487497,6.2781777,"Transiting Exoplanet Survey Satellite (TESS)"
"TOI-125 b","TOI-125","K0 V",5320.00,2.72600000,9.50000000,4.65382000000,0.00033000000,2.9616000,0.08700000,2458355.35529000,0.00100000,23.5934253,-66.6763495,"Transiting Exoplanet Survey Satellite (TESS)"
"TOI-1246 b","TOI-1246","K V",5151.00,3.01000000,8.10000000,4.30744000000,0.00002000000,2.3379196,0.10948419,2458686.56580000,0.00100000,251.1158702,70.4299917,"Transiting Exoplanet Survey Satellite (TESS)"
"TOI-921 b","TOI-921",,6011.66,3.53409617,12.20000000,5.12871907628,0.00002010057,2.1590444,0.08094473,2459164.91866885,0.00161217,99.6742038,-56.2205396,"Transiting Exoplanet Survey Satellite (TESS)"
"Kepler-472 b","Kepler-472",,4996.00,3.22000000,10.50000000,4.17625551400,0.00000184400,3.7012000,0.13601000,2454966.09034100,0.00036100,296.5245187,39.2498503,"Kepler"
"K2-8 c","K2-8","K3 V",4870.00,2.41000000,6.39000000,5.06416000000,0.00041000000,2.0800000,0.09930000,2456813.07070000,0.00330000,169.7935178,-0.2844389,"K2"
"Kepler-694 b","Kepler-694",,5700.00,2.80000000,8.25000000,6.36584161200,0.00000810000,2.9697000,0.07807000,2455004.13543000,0.00103000,291.1495269,40.4204569,"Kepler"
"Kepler-411 b","Kepler-411","K2 V",4974.00,2.40100000,25.60000000,3.00515600000,0.00000200000,1.9686000,0.06900000,2455135.38740000,0.00030000,287.6057027,49.5233937,"Kepler"
"TOI-849 b","TOI-849","G",5257.00,3.64000000,41.80000000,0.76554800000,0.00005300000,1.5700000,0.14100000,2458871.68120000,0.00830000,28.7157956,-29.4217086,"Transiting Exoplanet Survey Satellite (TESS)"
"Kepler-1195 b","Kepler-1195",,4965.00,2.08000000,4.98000000,8.49642241000,0.00002872000,2.2373000,0.08340000,2454971.73517000,0.00277000,284.3510523,40.8529319,"Kepler"
"Kepler-224 c","Kepler-224",,5018.00,3.12000000,9.91000000,5.92500300000,0.00001000000,2.8430000,0.17361000,2455002.71508000,0.00098000,290.9342679,47.3575414,"Kepler"
"K2-348 b","K2-348",,5077.00,3.26000000,10.70000000,4.68841800000,0.00011900000,2.7500000,0.14690000,2458096.71677200,0.00099500,130.8783479,24.4229559,"K2"
"TOI-4578 b","TOI-4578",,5951.32,2.26974262,5.77000000,8.62392630369,0.00005686319,2.0612885,0.06751211,2459634.20075625,0.00336722,184.2109675,75.1402358,"Transiting Exoplanet Survey Satellite (TESS)"
"K2-268 c","K2-268",,5106.00,2.69000000,7.70000000,9.32752700000,0.00002100000,3.3500000,0.12390000,2457140.84665000,0.00213300,133.7094899,11.8482712,"K2"
"Kepler-668 b","Kepler-668",,5352.00,2.70000000,7.75000000,8.35390639000,0.00001695000,2.2712000,0.10416000,2455004.63264000,0.00156000,285.4992845,49.2772713,"Kepler"
"TOI-6393 b","TOI-6393",,5008.20,2.75958542,8.04000000,9.53176110329,0.00009775099,3.1045696,0.10950000,2458702.88097223,0.00705464,141.2436918,68.7883127,"Transiting Exoplanet Survey Satellite (TESS)"
"TOI-2071 b","TOI-2071",,5755.41,2.56484195,7.10000000,5.67395386982,0.00002290491,2.8641894,0.06412779,2459784.44248281,0.00207397,256.6011813,57.6610327,"Transiting Exoplanet Survey Satellite (TESS)"
"TOI-2227 b","TOI-2227",,5889.54,3.09885187,9.79000000,4.22175815648,0.00002304409,2.7429639,0.05940000,2459050.44371553,0.00161014,337.5177563,-67.8501459,"Transiting Exoplanet Survey Satellite (TESS)"
"TOI-4513 b","TOI-4513",,5623.93,2.34587608,6.11000000,9.76042253684,0.00109793125,2.2316268,0.07900000,2459468.70118266,0.00207284,18.0905179,13.7550796,"Transiting Exoplanet Survey Satellite (TESS)"
"Kepler-989 b","Kepler-989",,5074.00,2.21000000,5.52000000,7.96431535200,0.00000961700,1.4980000,0.07460000,2454969.81672000,0.00102000,281.5827983,47.2334674,"Kepler"
"Kepler-956 b","Kepler-956",,6040.00,3.00000000,9.27000000,5.24867263100,0.00000312100,1.8418000,0.06212000,2454968.51625300,0.00052500,292.5308289,49.0616555,"Kepler"
"EPIC 212297394 c","EPIC 212297394",,5171.00,2.27000000,5.77000000,5.21396500000,0.00044200000,2.6200000,0.08280000,2457222.47887900,0.00364800,207.2061241,-17.6098985,"K2"
"K2-386 b","K2-386",,5749.00,2.32000000,5.99000000,7.47322300000,0.00037400000,3.5568000,0.06610000,2457395.90560000,0.00240000,18.2999964,7.0130302,"K2"
"TOI-3896 b","TOI-3896",,5110.91,3.14949237,10.10000000,4.37730369667,0.00001540543,2.3689451,0.14300000,2458903.31049730,0.00157840,187.9302395,63.9085462,"Transiting Exoplanet Survey Satellite (TESS)"
"TOI-1269 b","TOI-1269",,5499.00,2.40144286,6.40000000,4.25299130000,0.00000680000,2.6216334,0.07585850,2458686.60586000,0.00092000,249.6966397,64.5591810,"Transiting Exoplanet Survey Satellite (TESS)"
"HIP 94235 b","HIP 94235","G V",5991.00,3.00000000,379.00000000,7.71305700000,0.00002100000,2.4700000,0.07284849,2459037.87040000,0.00110000,287.7411441,-60.2726358,"Transiting Exoplanet Survey Satellite (TESS)"
"TOI-880.02","TOI-880","K",5050.00,2.19000000,5.43000000,2.57571000000,0.00028000000,1.9700000,0.07396008,2459400.61280000,0.02000000,94.1644734,-13.9873370,"Transiting Exoplanet Survey Satellite (TESS)"
"TOI-1269 c","TOI-1269",,5554.02,2.22999162,5.60000000,9.23786144195,0.00003949294,2.7438438,0.06600000,2459711.38309896,0.00229960,249.6966397,64.5591810,"Transiting Exoplanet Survey Satellite (TESS)"
"TOI-451 c","TOI-451","G8 V",5490.00,2.93000000,3.70000000,9.19246300000,0.00001700000,3.4610000,0.10480000,2460314.63760000,0.00250000,62.9663850,-37.9397300,"Transiting Exoplanet Survey Satellite (TESS)"
"Kepler-475 b","Kepler-475",,5009.00,2.49000000,6.76000000,3.10550818900,0.00000104200,1.7210000,0.09109000,2454966.21043600,0.00027500,287.0516940,40.2114232,"Kepler"
"Kepler-195 b","Kepler-195",,5329.00,2.03000000,4.78000000,8.30787200000,0.00002000000,3.1500000,0.08238000,2455004.17120000,0.00133000,288.1209339,47.9666141,"Kepler"
"TOI-682.01","TOI-682",,5085.00,3.74186000,13.50000000,6.83923880000,0.00001270000,4.1760000,0.12130000,2460037.25993400,0.00160460,167.8854300,-22.0727803,"Transiting Exoplanet Survey Satellite (TESS)"
"HD 63935 b","HD 63935",,5513.00,2.91575244,10.50000000,9.05880700000,0.00001500000,3.7026559,0.08750000,2458494.44674000,0.00094000,117.9246417,9.3852412,"Transiting Exoplanet Survey Satellite (TESS)"
"Kepler-734 b","Kepler-734",,5326.00,3.56000000,12.40000000,6.10485285600,0.00000289400,4.6760000,0.20903000,2455002.57334100,0.00034700,297.0456122,46.0273893,"Kepler"
"Kepler-1727 b","Kepler-1727",,5349.00,3.17321625,10.20000000,9.02929973600,,3.1323000,0.10198000,2455010.20422000,0.00142000,290.3336142,38.7282722,"Kepler"
"NGTS-4 b","NGTS-4",,5143.00,3.18000000,20.60000000,1.33735080000,0.00000800000,1.8000000,0.12266761,2457607.99750000,0.00340000,89.5988945,-30.8117992,"Next-Generation Transit Survey (NGTS)"
